YEAR,Date,PREC,RH2M,T2M,T2M_MAX,T2M_MIN,WD10M,WS10M
1994,APR,0.25,54.69,29.89,40.66,21.8,301.38,2.97
1994,MAY,0.79,61,30.83,41.86,23.37,276.88,3.54
1994,JUN,22.05,84,27.61,36.05,24.69,238.69,5.34
1994,JUL,31.84,90.88,25.94,28.91,24.14,240.12,6.42
1994,AUG,13.73,90.5,25.37,29.17,23.48,242.88,5.34
1994,SEP,10.77,85.94,24.91,31.77,18.84,240.19,3.94
1994,OCT,3.6,77.62,25.88,32.82,18.76,66.88,2.76
1994,NOV,0.15,70.31,24.5,31.97,14.9,77.88,3.34
1994,DEC,0,53.12,22.1,32.18,12.26,69.06,3.36
1995,JAN,0.25,48.31,22.3,35.23,11.34,41.31,3.34
1995,FEB,0.01,46.5,25.51,37.57,14.93,337.81,3.07
1995,MAR,0.01,45.69,28.13,41.89,17.4,329.88,3.31
1995,APR,0.33,45.88,30.57,43.5,19.08,325.31,3.11
1995,MAY,0.32,57.44,30.91,42.26,23.59,259.81,3.73
1995,JUN,3.86,70.12,29.95,39.98,25.74,251.94,4.59
1995,JUL,22.25,86.31,27.11,33.65,24.52,239.81,5.62
1995,AUG,6.43,88.44,26.34,30.65,23.44,253.44,4.25
1995,SEP,16.9,88.56,25.98,31.11,22.22,273.5,3.11
1995,OCT,2.82,79.75,26.3,33.69,18.65,57.38,2.95
1995,NOV,0.02,68.75,23.31,32.3,15.17,65.75,2.77
1995,DEC,0,61.38,23.15,33.57,14.79,65.94,2.9
1996,JAN,0.22,54.5,23.42,36.79,12.26,0.62,2.97
1996,FEB,0,43.62,26.05,38.86,15.21,344.19,3.15
1996,MAR,0,46.56,29.44,42.82,18.98,327.19,3.29
1996,APR,0.03,51.81,30.09,42.45,19.79,307.94,3.25
1996,MAY,0.07,60.19,30.55,40.71,22.81,279.56,3.56
1996,JUN,10.89,76.88,28.73,37.89,24.42,229.19,5.02
1996,JUL,29.82,89.81,26.26,31.1,23.8,240.25,5.33
1996,AUG,10.97,90.75,25.39,28.89,23,258.5,4.57
1996,SEP,9.17,89.69,25.44,31.39,21.57,285.31,2.86
1996,OCT,6.42,81.69,25.16,32.28,17.75,88.81,3.27
1996,NOV,0.05,70.44,23.09,31.44,15.71,63.62,2.95
1996,DEC,0,59.5,22.66,32.57,13.3,81.12,3.16
1997,JAN,0.07,53.62,22.19,33.62,11.52,31,3.24
1997,FEB,0,42.94,24.3,41.38,14.05,356.75,3.19
1997,MAR,0,40,29.39,42.24,17.89,340.69,3.27
1997,APR,0.07,51.94,29.33,43.21,19.18,312.06,2.97
1997,MAY,0.04,58.25,30.52,40.19,22.76,278.69,3.57
1997,JUN,18.55,81.25,28.1,35.67,25.36,234.75,4.88
1997,JUL,16.94,89,26.58,30.13,24.26,236.19,5.98
1997,AUG,21.09,90.25,25.84,28.96,23.19,243.25,5.36
1997,SEP,5.81,87.38,25.64,30.82,20.9,245.5,3.03
1997,OCT,0.4,77.69,25.83,33.4,18.7,23.5,2.44
1997,NOV,2.97,76,25.9,33.23,18.19,38.25,2.22
1997,DEC,1.19,74.06,22.7,31.67,14.21,21.19,2.53
1998,JAN,0,58.38,23.12,36.04,12.02,27.19,2.86
1998,FEB,0,48.31,24.41,36.54,14.84,347.75,3.4
1998,MAR,0,46.69,27.9,43.37,15.72,316,3.05
1998,APR,0,53.88,31.12,45,21.79,307.38,3.14
1998,MAY,0.23,55.88,32.62,46.12,24.16,274.94,3.74
1998,JUN,12.06,74.44,29.55,40.72,25.64,244.31,5.15
1998,JUL,19.06,89.62,26.75,30.4,23.39,241.25,5.23
1998,AUG,13.96,90.62,26.86,32.54,23.94,252.62,4.15
1998,SEP,13.23,89.69,26.59,32.98,23.82,277.19,3.56
1998,OCT,10.06,83.81,26.23,32.89,17.9,202.31,2.96
1998,NOV,1.05,75.62,24.1,31.74,14.85,77.69,2.61
1998,DEC,0,63.25,21.58,30.4,13.54,87.12,3.53
1999,JAN,0,57.12,21.68,32.74,11.35,41.88,3.09
1999,FEB,0.02,47.56,26.71,40.65,13.44,21.5,3.04
1999,MAR,0,40.31,29.12,45.46,18.73,342.38,3.38
1999,APR,0,56.06,30.46,44.2,21.74,291.06,3.22
1999,MAY,1.73,67.31,29.48,39.63,24.03,254,3.55
1999,JUN,15.31,81,27.69,35.25,23.75,245.12,4.88
1999,JUL,12.77,88.56,26.53,30.53,24.19,248.5,5.49
1999,AUG,4.87,88.94,25.74,29.44,22.98,249.75,4.52
1999,SEP,11.02,88.94,25.76,31.5,22.75,262.56,3.4
1999,OCT,7.47,80.88,25.6,32.48,17.18,64.38,2.81
1999,NOV,0,66.81,23.36,31.85,14.56,70.69,3.51
1999,DEC,0,56.12,22.33,33.59,12.68,79.38,3.41
2000,JAN,0,48.25,23.43,36.23,12.3,40.19,3.34
2000,FEB,0,50.81,24.17,39.25,13.42,333.06,3.07
2000,MAR,0,42.88,27.58,42.57,15.89,329.94,3.04
2000,APR,0,55.69,30.73,44.33,21.83,303.12,3.22
2000,MAY,8.75,70.88,29.22,41.8,22.73,243.44,3.91
2000,JUN,10.46,84.19,27.58,32.23,24.32,266.88,4.45
2000,JUL,26.47,88.5,25.98,29.75,23.08,250.75,5.53
2000,AUG,11.69,88.44,26.09,30.4,23.33,250.81,4.81
2000,SEP,3.26,86.12,26.26,32.55,21.92,280.5,2.9
2000,OCT,2.05,78.38,26.33,33.94,18.56,2.5,2
2000,NOV,0.15,63.69,24.71,33.79,16.31,66.12,2.77
2000,DEC,0.36,44.56,23.32,34.76,14.68,80.44,3.45
2001,JAN,0,45.81,24.2,35.95,13.01,12.19,3.05
2001,FEB,0,41.56,25.55,38.69,15.99,337.69,2.88
2001,MAR,0,55.56,27.24,38.95,17.98,288.38,2.9
2001,APR,0.05,49.69,30.81,42.66,19.94,310.31,3.16
2001,MAY,0.94,62.44,30.76,40.92,24.89,242,4.47
2001,JUN,17,81.94,27.7,34.69,24.86,237.06,5.71
2001,JUL,20.07,89,26.24,30.02,24.05,240.69,5.78
2001,AUG,13.86,90.94,25.63,29.01,23.55,251.44,4.59
2001,SEP,5.2,87.69,26.16,33.31,22.4,273.62,2.75
2001,OCT,3.88,80.19,25.8,32.83,18.08,58.06,3.02
2001,NOV,0.2,66.56,24.38,33.8,15.55,75.88,3.07
2001,DEC,0,56.44,23.71,32.97,15,71.06,2.98
2002,JAN,0,51.06,22.4,34.81,11.23,31.25,3.27
2002,FEB,0,39.31,26.3,38.69,13.25,347.56,3.2
2002,MAR,0.02,43.44,29.45,42.77,19.45,339,3.23
2002,APR,0.07,50.12,31.35,43.09,22.05,315,3.22
2002,MAY,0.28,60.44,31.51,44.19,24.81,262.12,4.39
2002,JUN,16.63,78.06,28.83,38.37,25.25,245.19,4.91
2002,JUL,4.09,85.12,26.87,30.51,24.26,250.31,5.53
2002,AUG,18.77,89.88,25.8,29.26,23.01,255.81,4.95
2002,SEP,2.92,85.75,25.83,34.17,22.13,279.81,2.86
2002,OCT,0.56,71.75,26.9,34.74,17.58,68.44,2.69
2002,NOV,0.09,57,25.59,36.27,17.7,63.62,3.04
2002,DEC,0.01,48.75,24.59,37.08,13.63,29.06,3.06
2003,JAN,0,43.25,25.75,38.3,13.12,24.38,2.92
2003,FEB,0.3,48.12,26.37,38.73,16.9,330.5,3.16
2003,MAR,0,42.19,28.58,41.1,17.83,332.62,3.23
2003,APR,0.03,52.44,31,43.12,21.62,307.12,3.23
2003,MAY,0,58.44,31.3,43.25,22.74,283.25,3.72
2003,JUN,23.67,79.75,28.78,39.33,24.4,237.44,4.73
2003,JUL,18.87,89.81,26.95,30.14,24.92,234.56,5.28
2003,AUG,12.28,89.5,26.22,29.44,23.87,252.94,4.71
2003,SEP,7.77,88.94,25.9,30.78,23.13,260.75,3.51
2003,OCT,1.64,76,25.94,33.52,17.8,47.06,2.73
2003,NOV,0.04,69.81,24.76,33.12,16.9,72.06,3.05
2003,DEC,0.01,56.44,23.42,33.62,12.9,53.19,3.09
2004,JAN,0.01,51.94,23.26,36.08,13.92,16.5,3.09
2004,FEB,0,38.88,26.4,39.79,14.91,5.69,3.23
2004,MAR,0,37.19,30.39,43.35,20.28,345.75,3.17
2004,APR,0,57.25,30.37,40.94,22.65,295.94,2.93
2004,MAY,2.98,62.81,30.87,44.85,23.62,258.94,3.81
2004,JUN,12.57,81.31,27.98,36.16,24.96,230.12,5.65
2004,JUL,21.4,87.25,26.76,30.58,24.34,250.31,4.86
2004,AUG,30.63,90.62,25.74,28.78,23.08,252.38,5.8
